[2024-05-29 18:41:01] EDIT crm/models/db_crm.py: 0
[2024-05-29 18:41:54] EDIT crm/models/db_crm.py: 0
[2024-05-29 18:42:06] EDIT crm/models/db_crm.py: -2
[2024-05-29 18:42:27] EDIT crm/models/db_crm.py: 2
[2024-05-29 18:42:40] EDIT crm/models/db_crm.py: -2
[2024-05-29 18:43:00] EDIT crm/models/db_crm.py: 2
[2024-05-29 18:43:11] EDIT crm/models/db_crm.py: -2
[2024-05-29 18:59:21] EDIT crm/controllers/default.py: -4
[2024-05-29 19:01:34] EDIT crm/views/default/personal.html: -46
[2024-05-29 19:06:59] EDIT crm/controllers/default.py: 0
[2024-05-29 19:09:13] EDIT crm/controllers/default.py: 0
[2024-05-29 19:09:56] EDIT crm/controllers/default.py: 0
[2024-05-29 19:15:08] EDIT crm/controllers/default.py: 0
[2024-05-29 19:24:17] EDIT crm/views/default/personal.html: 24
[2024-05-29 19:34:34] EDIT crm/views/default/personal.html: -1
[2024-05-29 19:37:02] EDIT crm/models/db_crm.py: 2
[2024-05-29 19:37:23] EDIT crm/models/db_crm.py: -2
[2024-05-30 17:39:55] EDIT crm/models/db_crm.py: -2
[2024-05-30 17:40:25] EDIT crm/controllers/default.py: -7
[2024-05-30 17:43:26] EDIT crm/views/default/personal.html: -15
[2024-05-30 17:44:42] EDIT crm/controllers/default.py: 5
[2024-05-30 17:45:21] EDIT crm/views/default/personal.html: 3
[2024-05-30 18:19:05] EDIT crm/views/default/personal.html: -24
[2024-05-30 18:28:56] EDIT crm/views/default/personal.html: 63
[2024-05-30 18:31:24] EDIT crm/views/default/personal.html: 6
[2024-05-30 19:04:23] EDIT crm/views/default/personal.html: 0
[2024-05-30 19:22:44] EDIT crm/views/default/personal.html: 52
[2024-05-30 19:28:47] EDIT crm/views/default/personal.html: 0
[2024-05-30 19:30:07] EDIT crm/views/default/personal.html: 0
[2024-05-30 19:32:24] EDIT crm/views/default/personal.html: 0
[2024-05-30 19:33:31] EDIT crm/views/default/personal.html: 0
[2024-05-30 19:34:31] EDIT crm/views/default/personal.html: 0
[2024-05-30 19:34:51] EDIT crm/views/default/personal.html: 0
[2024-05-30 19:38:31] EDIT crm/views/default/personal.html: 4
[2024-05-30 19:39:58] EDIT crm/views/default/personal.html: 1
[2024-05-30 19:41:00] EDIT crm/views/default/personal.html: 0
[2024-05-30 19:43:32] EDIT crm/views/default/personal.html: 2
[2024-05-30 19:43:43] EDIT crm/views/default/personal.html: 0
[2024-05-30 19:43:53] EDIT crm/views/default/personal.html: 0
[2024-05-30 19:44:03] EDIT crm/views/default/personal.html: 0
[2024-05-30 19:44:11] EDIT crm/views/default/personal.html: 0
[2024-05-30 19:44:29] EDIT crm/views/default/personal.html: 0
[2024-05-30 19:44:46] EDIT crm/views/default/personal.html: 0
[2024-05-30 19:44:58] EDIT crm/views/default/personal.html: -1
[2024-05-30 19:45:08] EDIT crm/views/default/personal.html: 0
[2024-05-30 19:45:18] EDIT crm/views/default/personal.html: -2
[2024-05-30 19:46:04] EDIT crm/views/default/personal.html: 1
[2024-05-30 20:04:17] EDIT crm/views/default/personal.html: 1
[2024-05-30 20:04:55] EDIT crm/views/default/personal.html: 0
[2024-05-30 20:05:23] EDIT crm/views/default/personal.html: 0
[2024-05-30 20:11:01] EDIT crm/views/default/personal.html: 0
[2024-05-30 20:11:28] EDIT crm/views/default/personal.html: 0
[2024-05-30 20:11:39] EDIT crm/views/default/personal.html: 0
[2024-05-30 20:11:47] EDIT crm/views/default/personal.html: 0
[2024-05-30 20:11:55] EDIT crm/views/default/personal.html: 0
[2024-05-30 20:12:06] EDIT crm/views/default/personal.html: 0
[2024-06-03 13:40:55] EDIT crm/views/default/personal.html: 0
[2024-06-03 13:49:16] EDIT crm/views/default/personal.html: 0
[2024-06-03 14:02:08] EDIT crm/views/default/personal.html: 14
[2024-06-03 14:03:21] EDIT crm/views/default/personal.html: 0
[2024-06-03 14:06:13] EDIT crm/views/default/personal.html: 18
[2024-06-03 14:07:06] EDIT crm/views/default/personal.html: 0
[2024-06-03 14:07:22] EDIT crm/views/default/personal.html: 0
[2024-06-03 14:08:56] EDIT crm/views/default/personal.html: 0
[2024-06-03 14:09:27] EDIT crm/views/default/personal.html: 0
[2024-06-03 14:09:33] EDIT crm/views/default/personal.html: 0
[2024-06-03 14:10:03] EDIT crm/views/default/personal.html: 0
[2024-06-03 14:10:12] EDIT crm/views/default/personal.html: 0
[2024-06-03 14:10:38] EDIT crm/views/default/personal.html: 0
[2024-06-03 14:11:02] EDIT crm/views/default/personal.html: 0
[2024-06-03 14:11:30] EDIT crm/views/default/personal.html: 0
[2024-06-03 14:11:51] EDIT crm/views/default/personal.html: 0
[2024-06-03 14:12:07] EDIT crm/views/default/personal.html: 0
[2024-06-03 14:12:15] EDIT crm/views/default/personal.html: 0
[2024-06-03 14:18:15] EDIT crm/views/default/personal.html: 7
[2024-06-03 14:18:57] EDIT crm/views/default/personal.html: 1
[2024-06-03 14:19:11] EDIT crm/views/default/personal.html: -1
[2024-06-03 14:19:54] EDIT crm/views/default/personal.html: -2
[2024-06-03 14:21:44] EDIT crm/views/default/personal.html: 0
[2024-06-03 14:22:45] EDIT crm/views/default/personal.html: -2
[2024-06-03 14:25:04] EDIT crm/views/default/personal.html: 0
[2024-06-03 14:26:17] EDIT crm/views/default/personal.html: 3
[2024-06-03 14:26:50] EDIT crm/views/default/personal.html: 2
[2024-06-03 14:27:28] EDIT crm/views/default/personal.html: 2
[2024-06-03 14:30:04] EDIT crm/views/default/personal.html: 2
[2024-06-03 14:30:51] EDIT crm/views/default/personal.html: 10
[2024-06-03 14:31:22] EDIT crm/views/default/personal.html: 20
[2024-06-03 14:32:55] EDIT crm/views/default/personal.html: 0
[2024-06-03 14:33:17] EDIT crm/views/default/personal.html: 0
[2024-06-03 14:39:44] EDIT crm/views/default/personal.html: 0
[2024-06-03 14:43:22] EDIT crm/views/default/personal.html: 5
[2024-06-03 14:43:50] EDIT crm/views/default/personal.html: 39
[2024-06-03 14:53:00] EDIT crm/views/default/personal.html: 1
[2024-06-03 14:55:22] EDIT crm/views/default/personal.html: 15
[2024-06-03 14:57:46] EDIT crm/views/default/personal.html: 2
[2024-06-03 14:59:04] EDIT crm/views/default/personal.html: -2
[2024-06-03 14:59:07] EDIT crm/views/default/personal.html: 0
[2024-06-03 15:00:06] EDIT crm/views/default/personal.html: 1
[2024-06-03 15:00:38] EDIT crm/views/default/personal.html: 0
[2024-06-03 15:00:54] EDIT crm/views/default/personal.html: 0
[2024-06-03 15:01:40] EDIT crm/views/default/personal.html: 0
[2024-06-03 15:01:56] EDIT crm/views/default/personal.html: 0
[2024-06-03 15:03:08] EDIT crm/views/default/personal.html: 0
[2024-06-03 15:03:23] EDIT crm/views/default/personal.html: 0
